,"('delta',)","('lambda',)",delta_pred,lambda_pred
10300,0.533,0.367,0.473,0.309
10301,0.533,0.367,0.503,0.27
10302,0.6,0.1,0.534,0.231
10303,0.4,0.1,0.473,0.309
10304,0.6,0.233,0.534,0.231
10305,0.533,0.1,0.503,0.27
10306,0.6,0.1,0.473,0.309
10307,0.533,0.1,0.534,0.231
10308,0.467,0.5,0.503,0.27
10309,0.6,0.5,0.503,0.27
10310,0.4,0.5,0.473,0.309
10311,0.6,0.233,0.534,0.231
10312,0.533,0.5,0.503,0.27
10313,0.6,0.1,0.473,0.309
10314,0.6,0.5,0.503,0.27
10315,0.6,0.233,0.473,0.309
10316,0.467,0.233,0.473,0.309
10317,0.467,0.5,0.467,0.365
10318,0.533,0.233,0.473,0.309
10319,0.467,0.5,0.503,0.27
10320,0.467,0.5,0.467,0.357
10321,0.6,0.233,0.534,0.231
10322,0.533,0.367,0.467,0.365
10323,0.4,0.367,0.473,0.309
10324,0.467,0.233,0.503,0.27
10325,0.6,0.1,0.534,0.231
10326,0.467,0.367,0.503,0.27
10327,0.4,0.5,0.467,0.357
10328,0.467,0.233,0.473,0.309
10329,0.4,0.367,0.467,0.365
10330,0.6,0.233,0.503,0.27
10331,0.533,0.367,0.473,0.309
10332,0.6,0.233,0.534,0.231
10333,0.4,0.367,0.473,0.309
10334,0.6,0.1,0.534,0.231
10335,0.533,0.233,0.473,0.309
10336,0.6,0.5,0.467,0.365
10337,0.467,0.233,0.534,0.231
10338,0.467,0.5,0.473,0.309
10339,0.467,0.233,0.473,0.309
10340,0.533,0.367,0.503,0.27
10341,0.533,0.1,0.467,0.357
10342,0.4,0.367,0.473,0.309
10343,0.6,0.5,0.473,0.309
10344,0.533,0.367,0.534,0.231
10345,0.533,0.1,0.503,0.27
10346,0.4,0.233,0.473,0.309
10347,0.6,0.233,0.473,0.309
10348,0.6,0.1,0.503,0.27
10349,0.4,0.233,0.467,0.357
10350,0.533,0.233,0.473,0.309
10351,0.467,0.367,0.503,0.27
10352,0.6,0.1,0.503,0.27
10353,0.4,0.233,0.473,0.309
10354,0.467,0.233,0.473,0.309
10355,0.467,0.1,0.473,0.309
10356,0.6,0.5,0.534,0.231
10357,0.467,0.5,0.534,0.231
10358,0.4,0.367,0.467,0.365
10359,0.4,0.1,0.503,0.27
10360,0.6,0.367,0.503,0.27
10361,0.6,0.367,0.467,0.357
10362,0.6,0.367,0.534,0.231
10363,0.4,0.367,0.467,0.365
10364,0.467,0.5,0.503,0.27
10365,0.4,0.367,0.467,0.365
10366,0.4,0.5,0.467,0.365
10367,0.533,0.233,0.503,0.27
10368,0.4,0.5,0.467,0.357
10369,0.6,0.233,0.503,0.27
10370,0.533,0.1,0.503,0.27
10371,0.467,0.367,0.467,0.365
10372,0.467,0.233,0.467,0.365
10373,0.467,0.5,0.503,0.27
10374,0.6,0.233,0.503,0.27
10375,0.6,0.367,0.467,0.365
10376,0.4,0.233,0.467,0.365
10377,0.4,0.367,0.473,0.309
10378,0.467,0.5,0.473,0.309
10379,0.4,0.5,0.473,0.309
10380,0.4,0.1,0.534,0.231
10381,0.467,0.233,0.503,0.27
10382,0.6,0.5,0.473,0.309
10383,0.6,0.233,0.473,0.309
10384,0.4,0.5,0.473,0.309
10385,0.6,0.5,0.473,0.309
10386,0.6,0.1,0.473,0.309
10387,0.533,0.1,0.467,0.365
10388,0.467,0.1,0.534,0.231
10389,0.467,0.1,0.503,0.27
10390,0.4,0.233,0.503,0.27
10391,0.6,0.1,0.473,0.309
10392,0.533,0.367,0.467,0.357
10393,0.4,0.1,0.473,0.309
10394,0.533,0.233,0.503,0.27
10395,0.533,0.5,0.503,0.27
10396,0.6,0.1,0.534,0.231
10397,0.6,0.1,0.473,0.309
10398,0.467,0.5,0.467,0.365
10399,0.6,0.367,0.503,0.27
10400,0.4,0.367,0.473,0.309
10401,0.4,0.367,0.503,0.27
10402,0.467,0.1,0.473,0.309
10403,0.4,0.5,0.473,0.309
10404,0.467,0.367,0.503,0.27
10405,0.4,0.367,0.467,0.365
10406,0.6,0.5,0.503,0.27
10407,0.467,0.5,0.467,0.357
10408,0.533,0.367,0.467,0.365
10409,0.6,0.1,0.467,0.357
10410,0.4,0.233,0.473,0.309
10411,0.4,0.367,0.467,0.365
10412,0.467,0.367,0.534,0.231
10413,0.467,0.1,0.534,0.231
10414,0.6,0.5,0.467,0.365
10415,0.6,0.233,0.467,0.365
10416,0.6,0.1,0.473,0.309
10417,0.4,0.5,0.473,0.309
10418,0.533,0.367,0.503,0.27
10419,0.6,0.1,0.503,0.27
10420,0.4,0.367,0.467,0.365
10421,0.467,0.367,0.503,0.27
10422,0.533,0.5,0.467,0.365
10423,0.533,0.1,0.503,0.27
10424,0.6,0.5,0.467,0.365
10425,0.4,0.233,0.473,0.309
10426,0.467,0.1,0.473,0.309
10427,0.6,0.1,0.534,0.231
10428,0.533,0.367,0.473,0.309
10429,0.6,0.367,0.534,0.231
10430,0.467,0.1,0.473,0.309
10431,0.467,0.367,0.503,0.27
10432,0.467,0.367,0.473,0.309
10433,0.533,0.5,0.503,0.27
10434,0.4,0.5,0.56,0.2
10435,0.533,0.1,0.503,0.27
10436,0.467,0.5,0.473,0.309
10437,0.6,0.1,0.534,0.231
10438,0.4,0.367,0.473,0.309
10439,0.467,0.367,0.503,0.27
10440,0.533,0.1,0.503,0.27
10441,0.4,0.1,0.467,0.365
10442,0.4,0.233,0.473,0.309
10443,0.467,0.1,0.467,0.357
10444,0.4,0.1,0.467,0.357
10445,0.533,0.1,0.473,0.309
10446,0.6,0.1,0.473,0.309
10447,0.533,0.233,0.534,0.231
10448,0.4,0.233,0.467,0.357
10449,0.4,0.367,0.473,0.309
10450,0.467,0.1,0.503,0.27
10451,0.6,0.5,0.467,0.365
10452,0.467,0.5,0.503,0.27
10453,0.533,0.1,0.503,0.27
10454,0.467,0.367,0.467,0.357
10455,0.6,0.1,0.473,0.309
10456,0.4,0.233,0.473,0.309
10457,0.6,0.233,0.534,0.231
10458,0.4,0.1,0.473,0.309
10459,0.533,0.367,0.467,0.357
10460,0.6,0.5,0.473,0.309
10461,0.6,0.367,0.534,0.231
10462,0.467,0.233,0.467,0.357
10463,0.467,0.367,0.467,0.365
10464,0.467,0.1,0.473,0.309
10465,0.6,0.367,0.473,0.309
10466,0.467,0.5,0.473,0.309
10467,0.533,0.233,0.534,0.231
10468,0.6,0.367,0.473,0.309
10469,0.6,0.5,0.473,0.309
10470,0.6,0.233,0.467,0.357
10471,0.533,0.5,0.503,0.27
10472,0.533,0.5,0.473,0.309
10473,0.4,0.367,0.503,0.27
10474,0.4,0.5,0.467,0.365
10475,0.467,0.1,0.534,0.231
10476,0.6,0.5,0.467,0.357
10477,0.533,0.5,0.467,0.357
10478,0.533,0.5,0.467,0.357
10479,0.467,0.1,0.503,0.27
10480,0.4,0.367,0.503,0.27
10481,0.533,0.5,0.467,0.365
10482,0.467,0.5,0.503,0.27
10483,0.6,0.1,0.534,0.231
10484,0.467,0.233,0.503,0.27
10485,0.4,0.1,0.534,0.231
10486,0.467,0.1,0.503,0.27
10487,0.4,0.1,0.503,0.27
10488,0.467,0.367,0.534,0.231
10489,0.6,0.5,0.534,0.231
10490,0.533,0.5,0.473,0.309
10491,0.467,0.5,0.467,0.365
10492,0.4,0.233,0.473,0.309
10493,0.4,0.5,0.503,0.27
10494,0.6,0.1,0.534,0.231
10495,0.467,0.1,0.503,0.27
10496,0.6,0.5,0.467,0.357
10497,0.4,0.1,0.473,0.309
10498,0.533,0.233,0.467,0.357
10499,0.6,0.367,0.467,0.365
10500,0.4,0.5,0.467,0.365
10501,0.467,0.233,0.473,0.309
10502,0.533,0.367,0.473,0.309
10503,0.533,0.1,0.503,0.27
10504,0.533,0.233,0.473,0.309
10505,0.533,0.233,0.467,0.357
10506,0.533,0.5,0.503,0.27
10507,0.533,0.367,0.503,0.27
10508,0.6,0.367,0.534,0.231
10509,0.6,0.367,0.503,0.27
10510,0.4,0.233,0.467,0.365
10511,0.4,0.5,0.467,0.365
10512,0.6,0.1,0.467,0.357
10513,0.467,0.5,0.473,0.309
10514,0.533,0.367,0.467,0.357
10515,0.4,0.367,0.467,0.357
10516,0.533,0.367,0.467,0.357
10517,0.467,0.367,0.473,0.309
10518,0.467,0.5,0.473,0.309
10519,0.6,0.233,0.534,0.231
10520,0.6,0.233,0.473,0.309
10521,0.6,0.5,0.473,0.309
10522,0.4,0.233,0.473,0.309
10523,0.6,0.1,0.467,0.357
10524,0.4,0.367,0.503,0.27
10525,0.4,0.1,0.473,0.309
10526,0.6,0.233,0.503,0.27
10527,0.4,0.367,0.467,0.365
10528,0.533,0.233,0.467,0.357
10529,0.467,0.233,0.503,0.27
10530,0.4,0.367,0.503,0.27
10531,0.533,0.367,0.534,0.231
10532,0.467,0.1,0.503,0.27
10533,0.4,0.367,0.473,0.309
10534,0.6,0.367,0.467,0.357
10535,0.4,0.233,0.503,0.27
10536,0.4,0.367,0.503,0.27
10537,0.6,0.1,0.534,0.231
10538,0.4,0.1,0.473,0.309
10539,0.4,0.367,0.467,0.365
10540,0.6,0.5,0.473,0.309
10541,0.533,0.367,0.473,0.309
10542,0.6,0.233,0.473,0.309
10543,0.533,0.367,0.534,0.231
10544,0.6,0.5,0.473,0.309
10545,0.467,0.5,0.473,0.309
10546,0.6,0.233,0.534,0.231
10547,0.467,0.1,0.503,0.27
10548,0.4,0.1,0.503,0.27
10549,0.4,0.5,0.467,0.365
10550,0.6,0.233,0.473,0.309
10551,0.4,0.367,0.473,0.309
10552,0.533,0.1,0.473,0.309
10553,0.6,0.233,0.473,0.309
10554,0.6,0.367,0.473,0.309
10555,0.533,0.233,0.473,0.309
10556,0.6,0.5,0.473,0.309
10557,0.4,0.1,0.503,0.27
10558,0.533,0.367,0.467,0.365
10559,0.533,0.233,0.503,0.27
10560,0.4,0.367,0.467,0.365
10561,0.533,0.367,0.467,0.365
10562,0.533,0.233,0.473,0.309
10563,0.6,0.1,0.534,0.231
10564,0.533,0.1,0.534,0.231
10565,0.533,0.367,0.503,0.27
10566,0.533,0.1,0.473,0.309
10567,0.467,0.1,0.503,0.27
10568,0.4,0.367,0.503,0.27
10569,0.467,0.1,0.467,0.357
10570,0.4,0.5,0.467,0.365
10571,0.4,0.367,0.473,0.309
10572,0.4,0.367,0.473,0.309
10573,0.533,0.5,0.473,0.309
10574,0.4,0.233,0.473,0.309
10575,0.533,0.1,0.503,0.27
10576,0.4,0.1,0.503,0.27
10577,0.467,0.233,0.503,0.27
10578,0.467,0.1,0.503,0.27
10579,0.533,0.1,0.534,0.231
10580,0.467,0.367,0.503,0.27
10581,0.467,0.367,0.473,0.309
10582,0.6,0.1,0.473,0.309
10583,0.4,0.5,0.473,0.309
10584,0.467,0.367,0.473,0.309
10585,0.467,0.1,0.503,0.27
10586,0.533,0.1,0.534,0.231
10587,0.4,0.5,0.467,0.365
10588,0.6,0.233,0.534,0.231
10589,0.4,0.1,0.503,0.27
10590,0.6,0.5,0.467,0.365
10591,0.4,0.367,0.473,0.309
10592,0.6,0.1,0.473,0.309
10593,0.4,0.367,0.467,0.365
10594,0.4,0.367,0.503,0.27
10595,0.4,0.1,0.473,0.309
10596,0.6,0.5,0.467,0.357
10597,0.6,0.233,0.534,0.231
10598,0.533,0.233,0.473,0.309
10599,0.4,0.367,0.467,0.357
10600,0.4,0.1,0.467,0.357
10601,0.467,0.1,0.473,0.309
10602,0.533,0.5,0.473,0.309
10603,0.467,0.5,0.503,0.27
10604,0.6,0.1,0.473,0.309
10605,0.533,0.5,0.503,0.27
10606,0.4,0.233,0.534,0.231
10607,0.4,0.367,0.473,0.309
10608,0.467,0.1,0.534,0.231
10609,0.6,0.367,0.473,0.309
10610,0.4,0.1,0.467,0.357
10611,0.467,0.1,0.503,0.27
10612,0.533,0.367,0.473,0.309
10613,0.4,0.5,0.503,0.27
10614,0.467,0.1,0.534,0.231
10615,0.467,0.1,0.473,0.309
10616,0.533,0.5,0.534,0.231
10617,0.533,0.233,0.534,0.231
10618,0.6,0.367,0.473,0.309
10619,0.467,0.233,0.467,0.365
10620,0.4,0.5,0.467,0.365
10621,0.533,0.233,0.467,0.365
10622,0.6,0.233,0.503,0.27
10623,0.4,0.233,0.503,0.27
10624,0.6,0.1,0.473,0.309
10625,0.4,0.367,0.473,0.309
10626,0.4,0.1,0.534,0.231
10627,0.6,0.5,0.467,0.365
10628,0.467,0.367,0.473,0.309
10629,0.533,0.233,0.534,0.231
10630,0.4,0.367,0.473,0.309
10631,0.6,0.233,0.503,0.27
10632,0.4,0.233,0.473,0.309
10633,0.533,0.233,0.467,0.357
10634,0.6,0.5,0.473,0.309
10635,0.6,0.233,0.467,0.365
10636,0.467,0.233,0.473,0.309
10637,0.6,0.5,0.473,0.309
10638,0.6,0.367,0.473,0.309
10639,0.6,0.233,0.473,0.309
10640,0.467,0.5,0.467,0.365
10641,0.467,0.1,0.473,0.309
10642,0.533,0.1,0.503,0.27
10643,0.533,0.1,0.534,0.231
10644,0.467,0.233,0.473,0.309
10645,0.533,0.367,0.56,0.2
10646,0.533,0.1,0.534,0.231
10647,0.6,0.367,0.473,0.309
10648,0.533,0.367,0.467,0.365
10649,0.467,0.233,0.467,0.357
10650,0.6,0.5,0.503,0.27
10651,0.533,0.233,0.473,0.309
10652,0.467,0.5,0.503,0.27
10653,0.6,0.1,0.503,0.27
10654,0.4,0.367,0.467,0.365
10655,0.4,0.233,0.473,0.309
10656,0.533,0.5,0.467,0.365
10657,0.467,0.233,0.473,0.309
10658,0.533,0.233,0.473,0.309
10659,0.4,0.5,0.467,0.357
10660,0.4,0.233,0.534,0.231
10661,0.4,0.1,0.503,0.27
10662,0.4,0.1,0.503,0.27
10663,0.4,0.5,0.503,0.27
10664,0.6,0.5,0.503,0.27
10665,0.467,0.5,0.467,0.357
10666,0.6,0.5,0.467,0.357
10667,0.4,0.233,0.473,0.309
10668,0.6,0.5,0.534,0.231
10669,0.533,0.1,0.473,0.309
10670,0.6,0.1,0.473,0.309
10671,0.533,0.1,0.534,0.231
10672,0.6,0.367,0.473,0.309
10673,0.533,0.233,0.503,0.27
10674,0.533,0.5,0.467,0.357
10675,0.467,0.5,0.473,0.309
10676,0.6,0.5,0.534,0.231
10677,0.533,0.367,0.467,0.357
10678,0.4,0.1,0.503,0.27
10679,0.4,0.367,0.467,0.357
10680,0.533,0.367,0.473,0.309
10681,0.467,0.233,0.473,0.309
10682,0.6,0.367,0.473,0.309
10683,0.4,0.367,0.467,0.365
10684,0.533,0.5,0.503,0.27
10685,0.467,0.1,0.534,0.231
10686,0.467,0.1,0.503,0.27
10687,0.533,0.233,0.473,0.309
10688,0.533,0.5,0.473,0.309
10689,0.467,0.367,0.467,0.357
10690,0.467,0.5,0.473,0.309
10691,0.4,0.367,0.473,0.309
10692,0.467,0.5,0.467,0.365
10693,0.533,0.367,0.503,0.27
10694,0.467,0.5,0.503,0.27
10695,0.467,0.1,0.534,0.231
10696,0.6,0.1,0.473,0.309
10697,0.6,0.5,0.467,0.365
10698,0.467,0.367,0.467,0.357
10699,0.4,0.233,0.473,0.309
10700,0.4,0.233,0.503,0.27
10701,0.4,0.1,0.534,0.231
10702,0.6,0.5,0.503,0.27
10703,0.6,0.1,0.467,0.357
10704,0.467,0.5,0.473,0.309
10705,0.533,0.5,0.503,0.27
10706,0.533,0.367,0.56,0.2
10707,0.4,0.233,0.467,0.365
10708,0.467,0.367,0.467,0.357
10709,0.533,0.1,0.534,0.231
10710,0.4,0.1,0.467,0.365
10711,0.533,0.233,0.473,0.309
10712,0.4,0.5,0.467,0.365
10713,0.4,0.5,0.473,0.309
10714,0.533,0.367,0.534,0.231
10715,0.4,0.5,0.467,0.357
10716,0.533,0.5,0.473,0.309
10717,0.4,0.233,0.467,0.365
10718,0.467,0.233,0.534,0.231
10719,0.6,0.233,0.534,0.231
10720,0.467,0.1,0.473,0.309
10721,0.6,0.5,0.473,0.309
10722,0.6,0.367,0.534,0.231
10723,0.467,0.5,0.467,0.365
10724,0.467,0.367,0.56,0.2
10725,0.467,0.367,0.473,0.309
10726,0.467,0.233,0.534,0.231
10727,0.533,0.5,0.473,0.309
10728,0.467,0.1,0.473,0.309
10729,0.533,0.367,0.473,0.309
10730,0.533,0.233,0.473,0.309
10731,0.6,0.367,0.503,0.27
10732,0.533,0.1,0.467,0.357
10733,0.6,0.367,0.467,0.365
10734,0.467,0.367,0.467,0.357
10735,0.467,0.233,0.534,0.231
10736,0.4,0.367,0.467,0.365
10737,0.4,0.1,0.503,0.27
10738,0.533,0.5,0.467,0.357
10739,0.6,0.1,0.473,0.309
10740,0.467,0.5,0.467,0.365
10741,0.533,0.233,0.503,0.27
10742,0.6,0.233,0.473,0.309
10743,0.6,0.233,0.473,0.309
10744,0.467,0.1,0.473,0.309
10745,0.4,0.5,0.503,0.27
10746,0.467,0.233,0.534,0.231
10747,0.4,0.1,0.467,0.357
10748,0.6,0.367,0.473,0.309
10749,0.4,0.5,0.473,0.309
10750,0.467,0.233,0.503,0.27
10751,0.6,0.367,0.534,0.231
10752,0.533,0.367,0.503,0.27
10753,0.467,0.1,0.503,0.27
10754,0.467,0.1,0.534,0.231
10755,0.467,0.1,0.473,0.309
10756,0.533,0.233,0.473,0.309
10757,0.4,0.5,0.503,0.27
10758,0.467,0.5,0.467,0.365
10759,0.4,0.1,0.503,0.27
10760,0.467,0.5,0.467,0.365
10761,0.533,0.5,0.467,0.365
10762,0.6,0.367,0.503,0.27
10763,0.533,0.367,0.503,0.27
10764,0.533,0.5,0.467,0.365
10765,0.6,0.1,0.473,0.309
10766,0.4,0.367,0.467,0.365
10767,0.467,0.5,0.473,0.309
10768,0.533,0.1,0.467,0.365
10769,0.533,0.1,0.503,0.27
10770,0.6,0.233,0.467,0.357
10771,0.6,0.233,0.503,0.27
10772,0.467,0.1,0.473,0.309
10773,0.6,0.367,0.473,0.309
10774,0.533,0.5,0.467,0.357
10775,0.467,0.5,0.503,0.27
10776,0.467,0.5,0.473,0.309
10777,0.467,0.5,0.473,0.309
10778,0.6,0.367,0.467,0.357
10779,0.6,0.367,0.473,0.309
10780,0.467,0.1,0.473,0.309
10781,0.4,0.5,0.467,0.365
10782,0.467,0.233,0.473,0.309
10783,0.4,0.1,0.503,0.27
10784,0.6,0.367,0.534,0.231
10785,0.6,0.5,0.473,0.309
10786,0.6,0.367,0.467,0.357
10787,0.6,0.5,0.56,0.2
10788,0.6,0.233,0.467,0.357
10789,0.4,0.1,0.467,0.365
10790,0.6,0.367,0.503,0.27
10791,0.4,0.367,0.467,0.365
10792,0.533,0.5,0.467,0.365
10793,0.533,0.1,0.473,0.309
10794,0.467,0.367,0.467,0.365
10795,0.533,0.5,0.473,0.309
10796,0.533,0.5,0.467,0.357
10797,0.467,0.5,0.534,0.231
10798,0.533,0.5,0.467,0.365
10799,0.4,0.5,0.473,0.309
10800,0.6,0.233,0.467,0.357
10801,0.467,0.233,0.473,0.309
10802,0.6,0.1,0.534,0.231
10803,0.6,0.367,0.534,0.231
10804,0.6,0.1,0.467,0.357
10805,0.533,0.5,0.473,0.309
10806,0.533,0.367,0.473,0.309
10807,0.467,0.367,0.467,0.357
10808,0.6,0.1,0.473,0.309
10809,0.467,0.5,0.467,0.357
10810,0.533,0.1,0.467,0.365
10811,0.533,0.1,0.467,0.357
10812,0.467,0.5,0.473,0.309
10813,0.467,0.367,0.473,0.309
10814,0.6,0.233,0.503,0.27
10815,0.4,0.233,0.473,0.309
10816,0.533,0.233,0.503,0.27
10817,0.6,0.5,0.467,0.365
10818,0.6,0.1,0.534,0.231
10819,0.4,0.5,0.503,0.27
10820,0.6,0.233,0.467,0.357
10821,0.6,0.5,0.503,0.27
10822,0.533,0.233,0.473,0.309
10823,0.4,0.233,0.503,0.27
10824,0.467,0.233,0.473,0.309
10825,0.4,0.1,0.467,0.357
10826,0.467,0.233,0.467,0.365
10827,0.467,0.233,0.467,0.357
10828,0.467,0.233,0.473,0.309
10829,0.6,0.1,0.473,0.309
10830,0.6,0.1,0.503,0.27
10831,0.533,0.5,0.503,0.27
10832,0.6,0.5,0.503,0.27
10833,0.467,0.1,0.473,0.309
10834,0.4,0.5,0.467,0.357
10835,0.6,0.233,0.473,0.309
10836,0.4,0.1,0.473,0.309
10837,0.533,0.1,0.473,0.309
10838,0.4,0.1,0.467,0.357
10839,0.467,0.5,0.473,0.309
10840,0.467,0.367,0.56,0.2
10841,0.533,0.367,0.473,0.309
10842,0.4,0.233,0.503,0.27
10843,0.533,0.367,0.534,0.231
10844,0.533,0.1,0.473,0.309
10845,0.6,0.233,0.503,0.27
10846,0.467,0.367,0.473,0.309
10847,0.533,0.367,0.467,0.357
10848,0.467,0.5,0.473,0.309
10849,0.4,0.5,0.503,0.27
10850,0.4,0.233,0.467,0.365
10851,0.4,0.1,0.473,0.309
10852,0.467,0.367,0.473,0.309
10853,0.467,0.1,0.503,0.27
10854,0.467,0.233,0.534,0.231
10855,0.533,0.367,0.473,0.309
10856,0.4,0.5,0.467,0.357
10857,0.4,0.233,0.503,0.27
10858,0.467,0.5,0.467,0.365
10859,0.4,0.5,0.467,0.365
10860,0.4,0.1,0.503,0.27
10861,0.467,0.367,0.503,0.27
10862,0.467,0.5,0.534,0.231
10863,0.467,0.5,0.467,0.357
10864,0.467,0.367,0.473,0.309
10865,0.6,0.233,0.473,0.309
10866,0.533,0.233,0.473,0.309
10867,0.533,0.367,0.503,0.27
10868,0.4,0.5,0.473,0.309
10869,0.533,0.5,0.473,0.309
10870,0.6,0.233,0.534,0.231
10871,0.6,0.367,0.473,0.309
10872,0.467,0.367,0.473,0.309
10873,0.533,0.233,0.534,0.231
10874,0.6,0.367,0.534,0.231
10875,0.6,0.5,0.473,0.309
10876,0.533,0.1,0.534,0.231
10877,0.533,0.233,0.473,0.309
10878,0.533,0.5,0.473,0.309
10879,0.6,0.367,0.503,0.27
10880,0.467,0.233,0.534,0.231
10881,0.6,0.1,0.534,0.231
10882,0.533,0.233,0.534,0.231
10883,0.533,0.1,0.473,0.309
10884,0.533,0.1,0.467,0.357
10885,0.4,0.367,0.503,0.27
10886,0.4,0.233,0.473,0.309
10887,0.467,0.233,0.534,0.231
10888,0.4,0.233,0.467,0.365
10889,0.533,0.1,0.473,0.309
10890,0.467,0.233,0.473,0.309
10891,0.6,0.1,0.473,0.309
10892,0.4,0.367,0.467,0.365
10893,0.6,0.1,0.473,0.309
10894,0.4,0.5,0.503,0.27
10895,0.4,0.5,0.503,0.27
10896,0.6,0.1,0.534,0.231
10897,0.4,0.367,0.503,0.27
10898,0.467,0.233,0.473,0.309
10899,0.4,0.367,0.503,0.27
10900,0.533,0.1,0.467,0.357
10901,0.4,0.233,0.467,0.365
10902,0.4,0.1,0.467,0.357
10903,0.467,0.5,0.467,0.357
10904,0.6,0.233,0.473,0.309
10905,0.467,0.367,0.503,0.27
10906,0.4,0.233,0.467,0.357
10907,0.4,0.5,0.467,0.365
10908,0.533,0.5,0.473,0.309
10909,0.4,0.367,0.503,0.27
10910,0.4,0.367,0.467,0.357
10911,0.4,0.367,0.473,0.309
10912,0.4,0.5,0.503,0.27
10913,0.533,0.367,0.473,0.309
10914,0.533,0.1,0.467,0.357
10915,0.467,0.5,0.467,0.365
10916,0.467,0.233,0.467,0.365
10917,0.6,0.367,0.473,0.309
10918,0.4,0.1,0.473,0.309
10919,0.533,0.5,0.503,0.27
10920,0.533,0.233,0.534,0.231
10921,0.4,0.367,0.467,0.365
10922,0.4,0.367,0.467,0.357
10923,0.467,0.233,0.473,0.309
10924,0.533,0.367,0.534,0.231
10925,0.467,0.367,0.56,0.2
10926,0.6,0.233,0.473,0.309
10927,0.533,0.367,0.473,0.309
10928,0.6,0.367,0.473,0.309
10929,0.467,0.1,0.503,0.27
10930,0.533,0.5,0.503,0.27
10931,0.533,0.367,0.473,0.309
10932,0.4,0.367,0.473,0.309
10933,0.6,0.367,0.503,0.27
10934,0.4,0.233,0.473,0.309
10935,0.533,0.233,0.473,0.309
10936,0.4,0.5,0.467,0.357
10937,0.4,0.1,0.467,0.357
10938,0.4,0.1,0.503,0.27
10939,0.467,0.367,0.534,0.231
10940,0.467,0.367,0.467,0.357
10941,0.467,0.233,0.473,0.309
10942,0.4,0.233,0.534,0.231
10943,0.4,0.367,0.467,0.365
10944,0.533,0.233,0.473,0.309
10945,0.467,0.367,0.473,0.309
10946,0.4,0.5,0.473,0.309
10947,0.6,0.233,0.503,0.27
10948,0.467,0.367,0.473,0.309
10949,0.6,0.367,0.467,0.365
10950,0.467,0.367,0.534,0.231
10951,0.6,0.233,0.503,0.27
10952,0.467,0.5,0.467,0.365
10953,0.4,0.1,0.473,0.309
10954,0.4,0.367,0.467,0.357
10955,0.533,0.233,0.473,0.309
10956,0.6,0.233,0.467,0.365
10957,0.467,0.367,0.534,0.231
10958,0.533,0.367,0.56,0.2
10959,0.533,0.5,0.503,0.27
10960,0.467,0.5,0.473,0.309
10961,0.533,0.1,0.534,0.231
10962,0.6,0.1,0.473,0.309
10963,0.4,0.367,0.467,0.365
10964,0.6,0.367,0.467,0.365
10965,0.533,0.1,0.467,0.357
10966,0.4,0.233,0.503,0.27
10967,0.4,0.233,0.467,0.365
10968,0.467,0.5,0.467,0.365
10969,0.533,0.367,0.473,0.309
10970,0.6,0.367,0.534,0.231
10971,0.467,0.1,0.473,0.309
10972,0.6,0.5,0.473,0.309
10973,0.533,0.367,0.534,0.231
10974,0.6,0.5,0.503,0.27
10975,0.533,0.233,0.534,0.231
10976,0.533,0.5,0.534,0.231
10977,0.533,0.1,0.467,0.357
10978,0.467,0.1,0.467,0.357
10979,0.533,0.5,0.467,0.365
10980,0.467,0.367,0.503,0.27
10981,0.4,0.367,0.467,0.365
10982,0.6,0.367,0.503,0.27
10983,0.533,0.367,0.467,0.365
10984,0.467,0.233,0.467,0.357
10985,0.533,0.233,0.503,0.27
10986,0.6,0.367,0.534,0.231
10987,0.4,0.233,0.503,0.27
10988,0.533,0.1,0.503,0.27
10989,0.533,0.233,0.473,0.309
10990,0.533,0.233,0.473,0.309
10991,0.467,0.233,0.534,0.231
10992,0.467,0.5,0.467,0.365
10993,0.533,0.5,0.467,0.365
10994,0.4,0.233,0.473,0.309
10995,0.467,0.367,0.473,0.309
10996,0.467,0.233,0.467,0.365
10997,0.467,0.1,0.503,0.27
10998,0.4,0.5,0.473,0.309
10999,0.533,0.367,0.467,0.357
11000,0.467,0.5,0.503,0.27
11001,0.4,0.233,0.473,0.309
11002,0.6,0.233,0.473,0.309
11003,0.467,0.233,0.534,0.231
11004,0.467,0.1,0.503,0.27
11005,0.4,0.233,0.503,0.27
11006,0.4,0.367,0.473,0.309
11007,0.467,0.1,0.473,0.309
11008,0.467,0.233,0.534,0.231
11009,0.533,0.5,0.534,0.231
11010,0.4,0.367,0.503,0.27
11011,0.467,0.1,0.467,0.357
11012,0.6,0.233,0.473,0.309
11013,0.6,0.5,0.473,0.309
11014,0.467,0.233,0.473,0.309
11015,0.467,0.233,0.473,0.309
11016,0.6,0.1,0.534,0.231
11017,0.6,0.233,0.473,0.309
11018,0.533,0.367,0.473,0.309
11019,0.467,0.233,0.473,0.309
11020,0.6,0.5,0.503,0.27
11021,0.4,0.233,0.467,0.357
11022,0.533,0.1,0.473,0.309
11023,0.533,0.367,0.467,0.365
11024,0.4,0.233,0.503,0.27
11025,0.467,0.367,0.467,0.365
11026,0.6,0.1,0.534,0.231
11027,0.6,0.5,0.467,0.365
11028,0.6,0.367,0.467,0.365
11029,0.533,0.1,0.467,0.357
11030,0.533,0.1,0.534,0.231
11031,0.6,0.367,0.503,0.27
11032,0.6,0.367,0.503,0.27
11033,0.6,0.233,0.534,0.231
11034,0.6,0.1,0.473,0.309
